DOI	TYPE	SUBJECT(S)	DATE	ARTICLE ID	VERSION
https://doi.org/10.7554/eLife.00785	research article	Cell Biology, Immunology and Inflammation	2013-08-14	00785	v1
https://doi.org/10.7554/eLife.00790	research article	Microbiology and Infectious Disease, Plant Biology	2013-07-02	00790	v1
https://doi.org/10.7554/eLife.00791	insight	Plant Biology	2013-04-30	00791	v1
https://doi.org/10.7554/eLife.00792	research article	Structural Biology and Molecular Biophysics, Microbiology and Infectious Disease	2013-07-30	00792	v1
https://doi.org/10.7554/eLife.00799	editorial		2013-04-30	00799	v2
https://doi.org/10.7554/eLife.00800	research article	Cell Biology, Plant Biology	2013-07-02	00800	v2
https://doi.org/10.7554/eLife.00801	research article	Neuroscience	2013-07-09	00801	v1
https://doi.org/10.7554/eLife.00802	research article	Cell Biology	2013-07-16	00802	v1
https://doi.org/10.7554/eLife.00804	insight	Cell Biology	2013-05-14	00804	v1
https://doi.org/10.7554/eLife.00806	research article	Cell Biology, Developmental Biology	2013-12-24	00806	v1
https://doi.org/10.7554/eLife.00808	research article	Chromosomes and Gene Expression	2013-06-18	00808	v1
https://doi.org/10.7554/eLife.00813	research article	Structural Biology and Molecular Biophysics	2013-07-30	00813	v1
https://doi.org/10.7554/eLife.00822	research article	Chromosomes and Gene Expression	2013-10-15	00822	v1
https://doi.org/10.7554/eLife.00824	research article	Developmental Biology, Chromosomes and Gene Expression	2013-08-27	00824	v1
https://doi.org/10.7554/eLife.00825	research article	Chromosomes and Gene Expression, Cancer Biology	2013-07-16	00825	v1
https://doi.org/10.7554/eLife.00828	research article	Biochemistry and Chemical Biology, Structural Biology and Molecular Biophysics	2013-08-08	00828	v1
https://doi.org/10.7554/eLife.00829	research article	Cell Biology	2014-02-18	00829	v1
https://doi.org/10.7554/eLife.00842	insight	Evolutionary Biology, Microbiology and Infectious Disease	2013-05-14	00842	v1
https://doi.org/10.7554/eLife.00844	research article	Cell Biology, Chromosomes and Gene Expression	2013-10-01	00844	v1
https://doi.org/10.7554/eLife.00845	research article	Cell Biology, Neuroscience	2013-07-30	00845	v1
https://doi.org/10.7554/eLife.00855	editorial		2013-05-16	00855	v1
https://doi.org/10.7554/eLife.00856	feature article		2013-05-28	00856	v1
https://doi.org/10.7554/eLife.00857	research article	Structural Biology and Molecular Biophysics	2013-07-16	00857	v1
https://doi.org/10.7554/eLife.00861	research article	Developmental Biology, Chromosomes and Gene Expression	2013-08-13	00861	v1
https://doi.org/10.7554/eLife.00862	research article	Structural Biology and Molecular Biophysics	2013-11-05	00862	v1
https://doi.org/10.7554/eLife.00863	research article	Biochemistry and Chemical Biology, Chromosomes and Gene Expression	2013-08-20	00863	v1
https://doi.org/10.7554/eLife.00866	insight	Neuroscience	2013-05-28	00866	v1
https://doi.org/10.7554/eLife.00868	research article	Cell Biology, Microbiology and Infectious Disease	2013-07-23	00868	v1
https://doi.org/10.7554/eLife.00873	insight	Structural Biology and Molecular Biophysics, Neuroscience	2013-05-21	00873	v1
https://doi.org/10.7554/eLife.00882	research article	Biochemistry and Chemical Biology, Structural Biology and Molecular Biophysics	2013-10-08	00882	v1
https://doi.org/10.7554/eLife.00884	research article	Biochemistry and Chemical Biology, Structural Biology and Molecular Biophysics	2013-09-03	00884	v1
https://doi.org/10.7554/eLife.00886	research article	Stem Cells and Regenerative Medicine	2013-08-27	00886	v1
https://doi.org/10.7554/eLife.00895	insight	Cell Biology, Neuroscience	2013-05-28	00895	v1
https://doi.org/10.7554/eLife.00899	insight	Genetics and Genomics	2013-07-16	00899	v1
https://doi.org/10.7554/eLife.00903	insight	Cell Biology	2013-06-11	00903	v1
https://doi.org/10.7554/eLife.00905	research article	Cell Biology	2013-09-24	00905	v1
https://doi.org/10.7554/eLife.00914	insight	Chromosomes and Gene Expression	2013-06-11	00914	v1
https://doi.org/10.7554/eLife.00924	research article	Stem Cells and Regenerative Medicine	2013-11-05	00924	v1
https://doi.org/10.7554/eLife.00926	research article	Cell Biology	2013-09-17	00926	v1
https://doi.org/10.7554/eLife.00932	research article	Neuroscience	2013-10-22	00932	v1
https://doi.org/10.7554/eLife.00933	insight	Chromosomes and Gene Expression, Evolutionary Biology	2013-06-18	00933	v1
https://doi.org/10.7554/eLife.00940	research article	Developmental Biology	2013-11-19	00940	v1
https://doi.org/10.7554/eLife.00943	research article	Structural Biology and Molecular Biophysics, Cell Biology	2013-09-03	00943	v1
https://doi.org/10.7554/eLife.00947	research article	Biochemistry and Chemical Biology, Cell Biology	2013-08-06	00947	v1
https://doi.org/10.7554/eLife.00948	insight	Cell Biology	2013-06-18	00948	v1
https://doi.org/10.7554/eLife.00951	research article	Biochemistry and Chemical Biology, Structural Biology and Molecular Biophysics	2013-09-17	00951	v1
https://doi.org/10.7554/eLife.00953	research article	Biochemistry and Chemical Biology, Cell Biology	2013-07-23	00953	v1
https://doi.org/10.7554/eLife.00954	insight	Genetics and Genomics	2013-06-18	00954	v1
https://doi.org/10.7554/eLife.00958	insight	Plant Biology	2013-06-25	00958	v1
https://doi.org/10.7554/eLife.00960	research article	Ecology	2013-11-12	00960	v1
https://doi.org/10.7554/eLife.00961	research article	Plant Biology	2013-09-28	00961	v1
https://doi.org/10.7554/eLife.00963	insight	Stem Cells and Regenerative Medicine, Chromosomes and Gene Expression	2013-06-18	00963	v1
https://doi.org/10.7554/eLife.00966	research article	Stem Cells and Regenerative Medicine	2013-10-22	00966	v1
https://doi.org/10.7554/eLife.00967	research article	Cell Biology, Neuroscience	2013-08-13	00967	v1
https://doi.org/10.7554/eLife.00969	research article	Cancer Biology	2013-11-05	00969	v1
https://doi.org/10.7554/eLife.00971	research article	Structural Biology and Molecular Biophysics	2013-09-24	00971	v1
https://doi.org/10.7554/eLife.00983	research article	Plant Biology	2013-12-31	00983	v1
https://doi.org/10.7554/eLife.00992	correction	Ecology, Neuroscience	2013-06-11	00992	v1
https://doi.org/10.7554/eLife.00994	research article	Microbiology and Infectious Disease	2013-10-08	00994	v1
https://doi.org/10.7554/eLife.00996	research article	Cell Biology	2013-12-31	00996	v1
https://doi.org/10.7554/eLife.00999	research article	Stem Cells and Regenerative Medicine	2013-10-15	00999	v1
https://doi.org/10.7554/eLife.01004	research article	Developmental Biology	2013-09-24	01004	v1
https://doi.org/10.7554/eLife.01008	research article	Biochemistry and Chemical Biology, Structural Biology and Molecular Biophysics	2013-09-03	01008	v1
https://doi.org/10.7554/eLife.01009	research article	Structural Biology and Molecular Biophysics, Cell Biology	2013-10-08	01009	v1
https://doi.org/10.7554/eLife.01020	research article	Biochemistry and Chemical Biology, Immunology and Inflammation	2013-12-12	01020	v1
https://doi.org/10.7554/eLife.01029	insight	Plant Biology	2013-07-02	01029	v1
https://doi.org/10.7554/eLife.01030	research article	Structural Biology and Molecular Biophysics, Cell Biology	2013-09-24	01030	v1
https://doi.org/10.7554/eLife.01042	insight	Biochemistry and Chemical Biology, Cell Biology	2013-07-09	01042	v1
https://doi.org/10.7554/eLife.01045	correction	Genetics and Genomics	2013-06-14	01045	v1
https://doi.org/10.7554/eLife.01061	feature article		2013-07-02	01061	v1
https://doi.org/10.7554/eLife.01064	research article	Neuroscience	2013-12-10	01064	v1
https://doi.org/10.7554/eLife.01067	research article	Developmental Biology	2013-11-26	01067	v1
